MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Kaze tachinu,(2013),"
Animation, Biography, Drama            ",7.8,"
A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","
    Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura
","77,732",126.0,$5.21M
Zwartboek,(2006),"
Drama, Thriller, War            ",7.7,"
In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","
    Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn
","74,139",145.0,$4.40M
Beasts of No Nation,(2015),"
Drama, War            ",7.7,"
A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","
    Director:
Cary Joji Fukunaga
| 
    Stars:
Abraham Attah, 
Emmanuel Affadzi, 
Ricky Adelayitor, 
Andrew Adote
","76,530",137.0,$0.08M
The Ghost Writer,(2010),"
Crime, Drama, Mystery            ",7.2,"
A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.","
    Director:
Roman Polanski
| 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal
","159,090",128.0,$15.54M
Valley of the Dolls,(1967),"
Drama, Music, Romance            ",6.0,"
Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young women in show business.","
    Director:
Mark Robson
| 
    Stars:
Barbara Parkins, 
Patty Duke, 
Paul Burke, 
Sharon Tate
","7,900",123.0,$44.43M
The Shack,(I) (2017),"
Drama, Fantasy            ",6.3,"
A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""","
    Director:
Stuart Hazeldine
| 
    Stars:
Sam Worthington, 
Octavia Spencer, 
Tim McGraw, 
Radha Mitchell
","31,775",132.0,$57.39M
The Great Gatsby,(1974),"
Drama, Romance            ",6.4,"
A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love.","
    Director:
Jack Clayton
| 
    Stars:
Robert Redford, 
Mia Farrow, 
Bruce Dern, 
Karen Black
","24,087",144.0,$6.74M
Brooklyn's Finest,(2009),"
Action, Crime, Drama            ",6.7,"
Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.","
    Director:
Antoine Fuqua
| 
    Stars:
Richard Gere, 
Don Cheadle, 
Ethan Hawke, 
Wesley Snipes
","61,994",132.0,$27.15M
Un long dimanche de fiançailles,(2004),"
Drama, Mystery, Romance            ",7.6,"
Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","
    Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon
","71,916",133.0,$6.17M
Extremely Loud & Incredibly Close,(2011),"
Adventure, Drama, Mystery            ",6.9,"
A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.","
    Director:
Stephen Daldry
| 
    Stars:
Thomas Horn, 
Tom Hanks, 
Sandra Bullock, 
Max von Sydow
","99,165",129.0,$31.85M
Liu lang di qiu,(2019),"
Action, Adventure, Sci-Fi            ",6.0,"
As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.","
    Director:
Frant Gwo
| 
    Stars:
Jing Wu, 
Chuxiao Qu, 
Guangjie Li, 
Man-Tat Ng
","28,264",125.0,$5.88M
Kaguya-hime no monogatari,(2013),"
Animation, Adventure, Drama            ",8.0,"
Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","
    Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden
","41,510",137.0,$1.51M
Mongol,(2007),"
Action, Biography, Drama            ",7.2,"
The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.","
    Director:
Sergei Bodrov
| 
    Stars:
Tadanobu Asano, 
Amadu Mamadakov, 
Khulan Chuluun, 
Honglei Sun
","45,408",126.0,$5.70M
Mugen no jûnin,(2017),"
Action, Drama, Fantasy            ",6.8,"
Cursed with a life of immortality, a samurai is tasked by a young girl to help avenge the death of her father. Based on the manga series by Hiroaki Samura.","
    Director:
Takashi Miike
| 
    Stars:
Takuya Kimura, 
Hana Sugisaki, 
Sôta Fukushi, 
Hayato Ichihara
","16,248",140.0,$0.15M
Kahaani,(2012),"
Mystery, Thriller            ",8.1,"
A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","
    Director:
Sujoy Ghosh
| 
    Stars:
Vidya Balan, 
Parambrata Chattopadhyay, 
Indraneil Sengupta, 
Nawazuddin Siddiqui
","59,675",122.0,$1.04M
The Painted Veil,(2006),"
Drama, Romance            ",7.5,"
A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.","
    Director:
John Curran
| 
    Stars:
Naomi Watts, 
Edward Norton, 
Liev Schreiber, 
Catherine An
","90,212",125.0,$8.06M
Million Dollar Arm,(2014),"
Biography, Drama, Sport            ",7.0,"
A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.","
    Director:
Craig Gillespie
| 
    Stars:
Jon Hamm, 
Aasif Mandvi, 
Alan Arkin, 
Suraj Sharma
","44,546",124.0,$36.45M
Ala Vaikunthapurramuloo,(2020),"
Action, Comedy, Drama            ",7.3,"
Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","
    Director:
Trivikram Srinivas
| 
    Stars:
Allu Arjun, 
Pooja Hegde, 
Tabu, 
Jayaram
","10,091",163.0,$4.70M
Dilwale,(2015),"
Action, Comedy, Drama            ",5.1,"
The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.","
    Director:
Rohit Shetty
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Varun Dhawan, 
Kriti Sanon
","32,707",158.0,$4.83M
The ABCs of Death,(2012),"
Comedy, Horror            ",4.7,"
A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.","
    Directors:
Kaare Andrews, 
Angela Bettis, 
Hélène Cattet, 
Ernesto Díaz Espinoza, 
Jason Eisener, 
Bruno Forzani, 
Adrian Garcia Bogliano, 
Xavier Gens, 
Jorge Michel Grau, 
Lee Hardcastle, 
Noboru Iguchi, 
Thomas Cappelen Malling, 
Anders Morgenthaler, 
Yoshihiro Nishimura, 
Banjong Pisanthanakun, 
Simon Rumley, 
Marcel Sarmiento, 
Jon Schnepp, 
Srdjan Spasojevic, 
Timo Tjahjanto, 
Andrew Traucki, 
Nacho Vigalondo, 
Jake West, 
Ti West, 
Ben Wheatley, 
Adam Wingard, 
Yudai Yamaguchi
| 
    Stars:
Ingrid Bolsø Berdal, 
Iván González, 
Kyra Zagorsky, 
Lucy Clements
","18,559",129.0,$0.02M
Te3n,(2016),"
Drama, Mystery, Thriller            ",7.3,"
A grandfather, a priest, and a police officer investigate the case of a kidnapped child.","
    Director:
Ribhu Dasgupta
| 
    Stars:
Amitabh Bachchan, 
Nawazuddin Siddiqui, 
Vidya Balan, 
Mukesh Chhabra
","12,303",136.0,$0.26M
Life Itself,(2014),"
Documentary, Biography            ",7.8,"
The life and career of the renowned film critic and social commentator, Roger Ebert.","
    Director:
Steve James
| 
    Stars:
Roger Ebert, 
Chaz Ebert, 
Gene Siskel, 
Martin Scorsese
","15,182",121.0,$0.81M
Won't Back Down,(2012),"
Drama            ",6.5,"
Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.","
    Director:
Daniel Barnz
| 
    Stars:
Viola Davis, 
Maggie Gyllenhaal, 
Holly Hunter, 
Oscar Isaac
","6,317",121.0,$5.31M
Nocturama,(2016),"
Drama, Thriller            ",6.4,"
Some young folks, tired of the society they're living in, plan a bomb attack over Paris before taking shelter for a night in a shopping center.","
    Director:
Bertrand Bonello
| 
    Stars:
Finnegan Oldfield, 
Vincent Rottiers, 
Hamza Meziani, 
Manal Issa
","4,659",130.0,$0.03M
Pyaar Ka Punchnama 2,(2015),"
Comedy, Drama, Romance            ",7.2,"
After falling in love, three roommates experience changes in their lives.","
    Director:
Luv Ranjan
| 
    Stars:
Kartik Aaryan, 
Omkar Kapoor, 
Sunny Singh Nijjar, 
Nushrat Bharucha
","14,399",137.0,$0.22M
Under solen,(1998),"
Drama, Romance            ",6.7,"
Olof lives alone on a farm after the death of his mother. Unable to read and write, he is dependent on his younger friend, Erik. Olof advertises for a housekeeper, and Ellen arrives. During summer Olof's heart and Erik's desires develops.","
    Director:
Colin Nutley
| 
    Stars:
Rolf Lassgård, 
Helena Bergström, 
Johan Widerberg, 
Gunilla Röör
","2,510",130.0,$0.29M
